Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
GaussianProcess,Train,4,3.2100047064886894e-08,1.4775756561575306e-08,1.2555979502492242e-08,7.73240269764116e-09,3.2100047064886894e-08,1.4775756561575306e-08,1.2555979502492242e-08,7.73240269764116e-09
GaussianProcess,Test,4,307.0,152.9324616876281,134.95945945945945,79.61138967105909,307.0,152.9324616876281,134.95945945945945,79.61138967105909
GaussianProcess,Train,5,3.00999545288505e-08,1.4013081483278511e-08,1.1897290885076288e-08,7.249500441576973e-09,3.00999545288505e-08,1.4013081483278511e-08,1.1897290885076288e-08,7.249500441576973e-09
GaussianProcess,Test,5,315.00000000000006,159.65270527419779,132.21917808219177,72.3148170437982,315.00000000000006,159.65270527419779,132.21917808219177,72.3148170437982
GaussianProcess,Train,6,3.2100047064886894e-08,1.5265031510000597e-08,1.311463486077507e-08,7.822618057154637e-09,3.2100047064886894e-08,1.5265031510000597e-08,1.311463486077507e-08,7.822618057154637e-09
GaussianProcess,Test,6,286.0,126.41202474448386,106.84931506849315,75.08251062061014,286.0,126.41202474448386,106.84931506849315,75.08251062061014
SVR,Train,1,151.35098115450364,45.82296359807516,36.35330889037985,32.65195823848973,151.35098115450364,45.82296359807516,36.35330889037985,32.65195823848973
SVR,Test,1,171.21347917593366,52.80876722617601,40.40668274665073,34.946883389864695,171.21347917593366,52.80876722617601,40.40668274665073,34.946883389864695
SVR,Train,2,202.17534453067296,45.78526201069558,35.921314772231895,32.36843031480644,202.17534453067296,45.78526201069558,35.921314772231895,32.36843031480644
SVR,Test,2,152.08867885195474,51.727342731392255,40.17050286287427,32.28556215733634,152.08867885195474,51.727342731392255,40.17050286287427,32.28556215733634
SVR,Train,3,169.6348937932178,42.690758252260935,33.761421702545434,29.595510262542422,169.6348937932178,42.690758252260935,33.761421702545434,29.595510262542422
SVR,Test,3,198.2101095283717,68.56772455769425,54.983701061070306,45.44383492145484,198.2101095283717,68.56772455769425,54.983701061070306,45.44383492145484
SVR,Train,4,167.00505788137536,44.946489252602994,35.28591563119813,31.361538508332064,167.00505788137536,44.946489252602994,35.28591563119813,31.361538508332064
SVR,Test,4,158.94154043000447,56.60657299979191,44.02239616899282,34.31564251675994,158.94154043000447,56.60657299979191,44.02239616899282,34.31564251675994
SVR,Train,5,164.07532673526697,44.462019617936726,34.734093218657705,29.745044971978857,164.07532673526697,44.462019617936726,34.734093218657705,29.745044971978857
SVR,Test,5,184.68533299084277,61.299476265706595,48.39439714826602,46.20003678228697,184.68533299084277,61.299476265706595,48.39439714826602,46.20003678228697
SVR,Train,6,211.05125836631674,45.19064764024869,34.907698157934355,31.175843209549754,211.05125836631674,45.19064764024869,34.907698157934355,31.175843209549754
SVR,Test,6,180.5669343725686,60.47475844139429,46.972810336461635,45.64295012891314,180.5669343725686,60.47475844139429,46.972810336461635,45.64295012891314
KNN,Train,1,129.8,50.02619531196935,39.585869565217386,35.01889148742981,129.8,50.02619531196935,39.585869565217386,35.01889148742981
KNN,Test,1,134.4,54.252751829571565,42.06486486486485,34.70641408838836,134.4,54.252751829571565,42.06486486486485,34.70641408838836
KNN,Train,2,150.6,48.96888097912618,38.53695652173913,33.29336964732513,150.6,48.96888097912618,38.53695652173913,33.29336964732513
KNN,Test,2,135.8,57.046003247260764,44.78378378378377,35.91177220192557,135.8,57.046003247260764,44.78378378378377,35.91177220192557
KNN,Train,3,141.4,48.00012907591341,37.65978260869565,31.904752117161557,141.4,48.00012907591341,37.65978260869565,31.904752117161557
KNN,Test,3,160.6,68.6795181711128,56.51081081081081,49.691150136514615,160.6,68.6795181711128,56.51081081081081,49.691150136514615
KNN,Train,4,136.20000000000002,48.812530688071405,37.988586956521736,32.820003648796174,136.20000000000002,48.812530688071405,37.988586956521736,32.820003648796174
KNN,Test,4,154.39999999999998,59.52194235424128,46.5027027027027,34.00213908144191,154.39999999999998,59.52194235424128,46.5027027027027,34.00213908144191
KNN,Train,5,127.19999999999999,47.49707735980791,37.34037940379404,31.440386399014685,127.19999999999999,47.49707735980791,37.34037940379404,31.440386399014685
KNN,Test,5,205.20000000000005,67.80219416985395,52.66849315068494,48.49017848617546,205.20000000000005,67.80219416985395,52.66849315068494,48.49017848617546
KNN,Train,6,140.0,50.7675343839493,39.44227642276423,34.135630498470185,140.0,50.7675343839493,39.44227642276423,34.135630498470185
KNN,Test,6,182.6,56.37408809212951,44.12328767123287,43.66846414086882,182.6,56.37408809212951,44.12328767123287,43.66846414086882
